0.0,0.0,0.0,0.0
0.0,180.0,0.0,180.0
0.0,360.0,0.0,360.0
120.0,71.0,141.0,64.0
146.0,162.0,166.0,106.0
168.0,156.0,188.0,97.0
174.0,175.0,183.0,121.0
182.0,253.0,199.0,193.0
190.0,154.0,202.0,95.0
195.0,313.0,206.0,227.0
208.0,211.0,223.0,149.0
212.0,66.0,210.0,33.0
229.0,321.0,225.0,233.0
236.0,146.0,239.0,95.0
240.0,0.0,240.0,0.0
240.0,360.0,240.0,360.0
256.0,166.0,251.0,112.0
259.0,307.0,254.0,225.0
260.0,246.0,258.0,185.0
264.0,143.0,263.0,86.0
282.0,152.0,283.0,99.0
300.0,68.0,278.0,50.0
340.0,145.0,315.0,112.0
340.0,194.0,310.0,157.0
480.0,0.0,480.0,0.0
480.0,180.0,480.0,180.0
480.0,360.0,480.0,360.0
